Stage,Units,Value,Resistance
Initial,megohms,1,5045
Initial,megohms,2,4350
Initial,megohms,3,4350
Initial,megohms,4,3975
Initial,megohms,5,4290
Initial,megohms,6,4430
Initial,megohms,7,4485
Initial,megohms,8,4285
Initial,megohms,9,3980
Initial,megohms,10,3925
Initial,megohms,11,3645
Initial,megohms,12,3760
Initial,megohms,13,3300
Initial,megohms,14,3685
Initial,megohms,15,3463
Initial,megohms,16,5200
Initial,megohms,17,5100
Initial,megohms,18,4635
Initial,megohms,19,5100
Initial,megohms,20,5450
Initial,megohms,21,4635
Initial,megohms,22,4720
Initial,megohms,23,4810
Initial,megohms,24,4565
Initial,megohms,25,4410
Initial,megohms,26,4065
Initial,megohms,27,4565
Initial,megohms,28,5190
Initial,megohms,29,4725
Initial,megohms,30,4640
Initial,megohms,31,4640
Initial,megohms,32,4895
Initial,megohms,33,4790
Initial,megohms,34,4845
Initial,megohms,35,4700
Initial,megohms,36,4600
Initial,megohms,37,4110
Initial,megohms,38,4410
Initial,megohms,39,4180
Initial,megohms,40,4790
Initial,megohms,41,4790
Initial,megohms,42,4340
Initial,megohms,43,4895
Initial,megohms,44,5750
Initial,megohms,45,4740
Initial,megohms,46,5000
Initial,megohms,47,4895
Initial,megohms,48,4255
Initial,megohms,49,4170
Initial,megohms,50,3850
Initial,megohms,51,4445
Initial,megohms,52,4650
Initial,megohms,53,4170
Initial,megohms,54,4255
Initial,megohms,55,4170
Initial,megohms,56,4375
Initial,megohms,57,4175
Initial,megohms,58,4550
Initial,megohms,59,4450
Initial,megohms,60,2855
Initial,megohms,61,2920
Initial,megohms,62,4375
Initial,megohms,63,4375
Initial,megohms,64,4355
Initial,megohms,65,4090
Initial,megohms,66,5000
Initial,megohms,67,4335
Initial,megohms,68,5000
Initial,megohms,69,4640
Initial,megohms,70,4335
Initial,megohms,71,5000
Initial,megohms,72,4615
Initial,megohms,73,4215
Initial,megohms,74,4275
Initial,megohms,75,4275
Initial,megohms,76,5000
Initial,megohms,77,4615
Initial,megohms,78,4735
Initial,megohms,79,4215
Initial,megohms,80,4700
Initial,megohms,81,4700
Initial,megohms,82,4700
Initial,megohms,83,4700
Initial,megohms,84,4095
Initial,megohms,85,4095
Initial,megohms,86,3940
Initial,megohms,87,3700
Initial,megohms,88,3650
Initial,megohms,89,4445
Initial,megohms,90,4000
Initial,megohms,91,4845
Initial,megohms,92,5000
Initial,megohms,93,4560
Initial,megohms,94,4700
Initial,megohms,95,4310
Initial,megohms,96,4310
Initial,megohms,97,5000
Initial,megohms,98,4575
Initial,megohms,99,4700
Initial,megohms,100,4430
Initial,megohms,101,4850
Initial,megohms,102,4850
Initial,megohms,103,4570
Initial,megohms,104,4570
Initial,megohms,105,4855
Initial,megohms,106,4160
Initial,megohms,107,4325
Initial,megohms,108,4125
Initial,megohms,109,4100
Initial,megohms,110,4340
Initial,megohms,111,4575
Initial,megohms,112,3875
Initial,megohms,113,4050
Initial,megohms,114,4050
Initial,megohms,115,4685
Initial,megohms,116,4685
Initial,megohms,117,4430
Initial,megohms,118,4300
Initial,megohms,119,4690
Initial,megohms,120,4560
Initial,megohms,121,3075
Initial,megohms,122,2965
Initial,megohms,123,4080
Initial,megohms,124,4080
Initial,megohms,125,4425
Initial,megohms,126,4300
Initial,megohms,127,4430
